Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Complexity,Syllables,Source,GPT_JA
AARDVARK,1,755,2.9550702197134308e-08,1.9454209180577783e-08,4.078069304633236e-06,140,0,0,0,0,0,0,0,0,2,12of12inf,アードバーク
AARDVARKS,2,3,1.17420008730335e-10,8.06001867717715e-12,8.919010685912077e-09,1,0,0,0,0,0,0,0,0,2,12of12inf,アードバーク
ABACI,3,9,3.52260026191005e-10,1.0893427996920043e-10,5.105358740241559e-08,7,0,0,0,0,0,0,0,0,3,12of12inf,アバカイ
ABACK,4,29,1.1350600843932383e-09,6.19792232067224e-10,1.5392792629133626e-07,28,0,0,0,0,0,0,0,0,2,12of12inf,アバック
ABACUS,5,9620,3.765268279952742e-07,3.825260699466366e-07,3.421835569699706e-05,1295,0,0,0,0,0,0,0,0,3,12of12inf,算盤
ABACUSES,6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf,算盤
ABAFT,7,4,1.5656001164044664e-10,2.1447871724133828e-11,2.3733666727012808e-08,1,0,0,0,0,0,0,0,0,2,12of12inf,アフト
ABALONE,8,149,5.831860433606637e-09,4.729504184083218e-09,1.0318592377096316e-06,52,0,0,0,0,0,0,0,0,4,12of12inf,アワビ
ABALONES,9,1,3.914000291011166e-11,7.715205722589048e-11,8.537449482422498e-08,1,0,0,0,0,0,0,0,0,4,12of12inf,アワビ
ABANDON,10,154158,6.033744568616994e-06,4.8240040165951805e-06,3.2612711814946056e-05,76324,2009,0,0,0,0,0,0,0,3,12of12inf,放棄する
ABANDONED,11,261781,1.0246109101811942e-05,1.0397077668111348e-05,9.077508998172851e-05,115130,2009,0,0,0,0,0,0,0,3,12of12inf,放棄された
ABANDONING,12,22497,8.805326454687821e-07,8.271178376324521e-07,1.1986601851972985e-05,14061,2009,0,0,0,0,0,0,0,4,12of12inf,放棄している
ABANDONMENT,13,315640,1.2354150518547644e-05,1.2114806109495022e-05,8.004858351752568e-05,105107,2009,0,0,0,0,0,0,0,4,12of12inf,放棄
ABANDONMENTS,14,17224,6.741474101237633e-07,9.126801122087696e-07,2.2337572423294606e-05,7205,2009,0,0,0,0,0,0,0,4,12of12inf,放棄
