filename,edinet_code,symbol,filing_date_parsed,status,token_count,pos_count,neg_count,pos_rate,neg_rate,lmmd_net
S100CKNI_1.xbrl,E00816,4151.T,2018-03-16,ok,1642,23,16,0.014007308160779537,0.0097442143727162,0.004263093788063338
S100FD5X_1.xbrl,E00816,4151.T,2019-03-14,ok,6124,99,43,0.016165904637491835,0.0070215545395166555,0.009144350097975179
S100I6UF_1.xbrl,E00816,4151.T,2020-03-12,ok,5115,78,36,0.015249266862170088,0.007038123167155425,0.008211143695014663
S100KWXR_1.xbrl,E00816,4151.T,2021-03-09,ok,5450,99,44,0.0181651376146789,0.008073394495412844,0.010091743119266056
S100NMKA_1.xbrl,E00816,4151.T,2022-03-08,ok,5586,89,38,0.01593268886501969,0.006802721088435374,0.009129967776584319
S100QCX2_1.xbrl,E00816,4151.T,2023-03-09,ok,5909,101,41,0.017092570654933154,0.006938568285665934,0.01015400236926722
S100DG7F_1.xbrl,E00919,4502.T,2018-06-28,ok,5676,65,102,0.011451726568005638,0.017970401691331923,-0.0065186751233262865
S100G9DS_1.xbrl,E00919,4502.T,2019-06-27,ok,15886,129,214,0.008120357547526123,0.013470980737756514,-0.005350623190230392
S100IUW5_1.xbrl,E00919,4502.T,2020-06-24,ok,18690,150,266,0.008025682182985553,0.014232209737827715,-0.006206527554842162
S100LR7D_1.xbrl,E00919,4502.T,2021-06-29,ok,19822,161,263,0.008122288366461507,0.013268085965089296,-0.005145797598627788
S100OBQE_1.xbrl,E00919,4502.T,2022-06-29,ok,18454,175,249,0.009483038907553918,0.013493009645605288,-0.004009970738051371
S100D672_1.xbrl,E00920,4503.T,2018-06-15,ok,4017,39,39,0.009708737864077669,0.009708737864077669,0.0
S100G0JS_1.xbrl,E00920,4503.T,2019-06-18,ok,3772,51,37,0.01352067868504772,0.009809119830328738,0.003711558854718982
S100ISXY_1.xbrl,E00920,4503.T,2020-06-18,ok,3873,46,28,0.011877097856958431,0.007229537825974697,0.004647560030983733
S100LIQN_1.xbrl,E00920,4503.T,2021-06-18,ok,3788,49,34,0.01293558606124604,0.00897571277719113,0.00395987328405491
S100O9T7_1.xbrl,E00920,4503.T,2022-06-20,ok,4010,50,31,0.012468827930174564,0.0077306733167082295,0.004738154613466334
S100D54M_1.xbrl,E00922,4506.T,2018-06-19,ok,6267,81,57,0.01292484442316898,0.009095260890378171,0.003829583532790809
S100FZD7_1.xbrl,E00922,4506.T,2019-06-20,ok,4047,63,65,0.015567086730911787,0.016061279960464542,-0.0004941932295527551
S100IU2H_1.xbrl,E00922,4506.T,2020-06-23,ok,5095,79,41,0.0155053974484789,0.008047105004906772,0.00745829244357213
S100LN0R_1.xbrl,E00922,4506.T,2021-06-24,ok,4613,79,52,0.017125514849338826,0.011272490786906569,0.0058530240624322565
S100O9PO_1.xbrl,E00922,4506.T,2022-06-23,ok,3996,71,41,0.017767767767767766,0.01026026026026026,0.0075075075075075074
S100D8CS_1.xbrl,E00923,4507.T,2018-06-20,ok,2420,24,8,0.009917355371900827,0.003305785123966942,0.006611570247933884
S100G0TE_1.xbrl,E00923,4507.T,2019-06-18,ok,2732,23,19,0.00841874084919473,0.006954612005856516,0.0014641288433382138
S100IXUZ_1.xbrl,E00923,4507.T,2020-06-24,ok,4092,42,37,0.010263929618768328,0.009042033235581623,0.0012218963831867058
S100LMYP_1.xbrl,E00923,4507.T,2021-06-23,ok,3215,51,18,0.015863141524105753,0.005598755832037325,0.01026438569206843
S100OE0D_1.xbrl,E00923,4507.T,2022-06-24,ok,3258,64,20,0.019643953345610803,0.006138735420503376,0.013505217925107428
S100CL2M_1.xbrl,E00932,4519.T,2018-03-22,ok,678,4,6,0.0058997050147492625,0.008849557522123894,-0.0029498525073746312
S100FGUZ_1.xbrl,E00932,4519.T,2019-03-28,ok,5198,81,33,0.015582916506348595,0.006348595613697576,0.00923432089265102
S100IAU4_1.xbrl,E00932,4519.T,2020-03-30,ok,5165,77,33,0.014908034849951598,0.0063891577928363984,0.008518877057115199
S100KZU5_1.xbrl,E00932,4519.T,2021-03-23,ok,5386,76,37,0.014110657259561827,0.006869662086891942,0.0072409951726698845
S100NR8W_1.xbrl,E00932,4519.T,2022-03-29,ok,4992,80,22,0.016025641025641024,0.004407051282051282,0.011618589743589744
S100QH69_1.xbrl,E00932,4519.T,2023-03-30,ok,5630,83,29,0.014742451154529308,0.005150976909413854,0.009591474245115453
S100D7MU_1.xbrl,E00939,4523.T,2018-06-20,ok,3966,55,30,0.013867876954109935,0.007564296520423601,0.006303580433686334
S100G2DR_1.xbrl,E00939,4523.T,2019-06-20,ok,4014,65,24,0.01619332336821126,0.005979073243647235,0.010214250124564025
S100ITSP_1.xbrl,E00939,4523.T,2020-06-19,ok,4586,71,23,0.015481901439162669,0.005015263846489315,0.010466637592673354
S100LKNM_1.xbrl,E00939,4523.T,2021-06-18,ok,4223,65,26,0.015391901491830453,0.006156760596732181,0.00923514089509827
S100D602_1.xbrl,E00984,4568.T,2018-06-18,ok,3677,47,29,0.012782159369050857,0.007886864291542018,0.004895295077508839
S100FZ3C_1.xbrl,E00984,4568.T,2019-06-17,ok,4144,51,36,0.012306949806949807,0.008687258687258687,0.00361969111969112
S100IRKC_1.xbrl,E00984,4568.T,2020-06-15,ok,5815,81,28,0.013929492691315564,0.004815133276010318,0.009114359415305246
S100LKS9_1.xbrl,E00984,4568.T,2021-06-21,ok,5501,73,36,0.01327031448827486,0.006544264679149246,0.006726049809125613
S100ODRB_1.xbrl,E00984,4568.T,2022-06-27,ok,5588,92,27,0.0164638511095204,0.004831782390837509,0.011632068718682892
S100CPJJ_1.xbrl,E21183,4578.T,2018-03-30,ok,1725,16,22,0.00927536231884058,0.012753623188405797,-0.0034782608695652175
S100FJ7X_1.xbrl,E21183,4578.T,2019-03-29,ok,5844,72,65,0.012320328542094456,0.011122518822724161,0.0011978097193702942
S100ICNQ_1.xbrl,E21183,4578.T,2020-03-30,ok,5794,65,53,0.011218501898515705,0.009147393855712806,0.0020711080428028996
S100L3LV_1.xbrl,E21183,4578.T,2021-03-31,ok,5777,76,71,0.013155617102302232,0.01229011597715077,0.0008655011251514627
S100NTB1_1.xbrl,E21183,4578.T,2022-03-31,ok,5668,73,44,0.012879322512350036,0.0077628793225123505,0.0051164431898376855
S100QJ0T_1.xbrl,E21183,4578.T,2023-03-31,ok,5737,76,53,0.013247341816280286,0.009238277845563884,0.0040090639707164024
