date,symbol,series_kind,open,high,low,close,adj_close,volume,trading_date
2016-01-04,TOPIX,TOPIX_INDEX_JPX,1532.53,1544.73,1506.27,1509.67,1509.67,,2016-01-04
2016-01-05,TOPIX,TOPIX_INDEX_JPX,1504.69,1516.55,1498.21,1504.71,1504.71,,2016-01-05
2016-01-06,TOPIX,TOPIX_INDEX_JPX,1508.78,1514.48,1478.78,1488.84,1488.84,,2016-01-06
2016-01-07,TOPIX,TOPIX_INDEX_JPX,1483.9,1489.63,1456.61,1457.94,1457.94,,2016-01-07
2016-01-08,TOPIX,TOPIX_INDEX_JPX,1442.85,1472.64,1441.05,1447.32,1447.32,,2016-01-08
2016-01-12,TOPIX,TOPIX_INDEX_JPX,1429.52,1436.08,1401.95,1401.95,1401.95,,2016-01-12
2016-01-13,TOPIX,TOPIX_INDEX_JPX,1422.17,1443.01,1420.21,1442.09,1442.09,,2016-01-13
2016-01-14,TOPIX,TOPIX_INDEX_JPX,1415.05,1416.26,1382.37,1406.55,1406.55,,2016-01-14
2016-01-15,TOPIX,TOPIX_INDEX_JPX,1427.65,1433.63,1394.66,1402.45,1402.45,,2016-01-15
2016-01-18,TOPIX,TOPIX_INDEX_JPX,1376.24,1393.44,1363.91,1387.93,1387.93,,2016-01-18
2016-01-19,TOPIX,TOPIX_INDEX_JPX,1382.45,1395.18,1374.91,1390.41,1390.41,,2016-01-19
2016-01-20,TOPIX,TOPIX_INDEX_JPX,1386.16,1386.54,1337.26,1338.97,1338.97,,2016-01-20
2016-01-21,TOPIX,TOPIX_INDEX_JPX,1339.72,1359.74,1301.49,1301.49,1301.49,,2016-01-21
2016-01-22,TOPIX,TOPIX_INDEX_JPX,1327.93,1375.95,1327.84,1374.19,1374.19,,2016-01-22
2016-01-25,TOPIX,TOPIX_INDEX_JPX,1393.87,1398.74,1376.67,1392.63,1392.63,,2016-01-25
2016-01-26,TOPIX,TOPIX_INDEX_JPX,1372.57,1373.11,1357.54,1360.23,1360.23,,2016-01-26
2016-01-27,TOPIX,TOPIX_INDEX_JPX,1383.41,1403.46,1382.89,1400.7,1400.7,,2016-01-27
2016-01-28,TOPIX,TOPIX_INDEX_JPX,1392.93,1406.26,1385.86,1392.1,1392.1,,2016-01-28
2016-01-29,TOPIX,TOPIX_INDEX_JPX,1400.73,1435.31,1370.15,1432.07,1432.07,,2016-01-29
2016-02-01,TOPIX,TOPIX_INDEX_JPX,1448.04,1463.79,1445.81,1462.67,1462.67,,2016-02-01
2016-02-02,TOPIX,TOPIX_INDEX_JPX,1449.01,1461.88,1445.58,1452.04,1452.04,,2016-02-02
2016-02-03,TOPIX,TOPIX_INDEX_JPX,1428.28,1429.32,1396.65,1406.27,1406.27,,2016-02-03
2016-02-04,TOPIX,TOPIX_INDEX_JPX,1392.43,1403.86,1382.22,1388.81,1388.81,,2016-02-04
2016-02-05,TOPIX,TOPIX_INDEX_JPX,1368.61,1373.78,1352.92,1368.97,1368.97,,2016-02-05
2016-02-08,TOPIX,TOPIX_INDEX_JPX,1351.69,1388.73,1345.91,1380.41,1380.41,,2016-02-08
2016-02-09,TOPIX,TOPIX_INDEX_JPX,1352.89,1352.94,1299.53,1304.33,1304.33,,2016-02-09
2016-02-10,TOPIX,TOPIX_INDEX_JPX,1305.87,1309.22,1246.57,1264.96,1264.96,,2016-02-10
2016-02-12,TOPIX,TOPIX_INDEX_JPX,1240.92,1242.59,1193.85,1196.28,1196.28,,2016-02-12
2016-02-15,TOPIX,TOPIX_INDEX_JPX,1220.14,1303.4,1219.78,1292.23,1292.23,,2016-02-15
2016-02-16,TOPIX,TOPIX_INDEX_JPX,1281.48,1321.21,1276.72,1297.01,1297.01,,2016-02-16
2016-02-17,TOPIX,TOPIX_INDEX_JPX,1294.34,1311.15,1265.48,1282.4,1282.4,,2016-02-17
2016-02-18,TOPIX,TOPIX_INDEX_JPX,1307.06,1322.28,1305.12,1311.2,1311.2,,2016-02-18
2016-02-19,TOPIX,TOPIX_INDEX_JPX,1298.83,1299.63,1281.28,1291.82,1291.82,,2016-02-19
2016-02-22,TOPIX,TOPIX_INDEX_JPX,1281.74,1304.94,1278.61,1300.0,1300.0,,2016-02-22
2016-02-23,TOPIX,TOPIX_INDEX_JPX,1309.01,1316.05,1289.22,1291.17,1291.17,,2016-02-23
2016-02-24,TOPIX,TOPIX_INDEX_JPX,1274.37,1292.36,1266.69,1284.53,1284.53,,2016-02-24
2016-02-25,TOPIX,TOPIX_INDEX_JPX,1289.64,1313.12,1289.52,1307.54,1307.54,,2016-02-25
2016-02-26,TOPIX,TOPIX_INDEX_JPX,1320.14,1330.23,1310.64,1311.27,1311.27,,2016-02-26
2016-02-29,TOPIX,TOPIX_INDEX_JPX,1325.63,1333.11,1297.85,1297.85,1297.85,,2016-02-29
2016-03-01,TOPIX,TOPIX_INDEX_JPX,1295.16,1304.7,1284.5,1300.83,1300.83,,2016-03-01
2016-03-02,TOPIX,TOPIX_INDEX_JPX,1325.53,1354.67,1325.06,1349.61,1349.61,,2016-03-02
2016-03-03,TOPIX,TOPIX_INDEX_JPX,1348.32,1370.0,1348.01,1369.05,1369.05,,2016-03-03
2016-03-04,TOPIX,TOPIX_INDEX_JPX,1366.73,1376.25,1360.89,1375.35,1375.35,,2016-03-04
2016-03-07,TOPIX,TOPIX_INDEX_JPX,1373.78,1373.85,1360.86,1361.9,1361.9,,2016-03-07
2016-03-08,TOPIX,TOPIX_INDEX_JPX,1357.78,1361.54,1330.58,1347.72,1347.72,,2016-03-08
2016-03-09,TOPIX,TOPIX_INDEX_JPX,1334.89,1338.15,1322.14,1332.33,1332.33,,2016-03-09
2016-03-10,TOPIX,TOPIX_INDEX_JPX,1344.95,1355.09,1337.03,1352.17,1352.17,,2016-03-10
2016-03-11,TOPIX,TOPIX_INDEX_JPX,1334.71,1364.5,1331.63,1359.32,1359.32,,2016-03-11
2016-03-14,TOPIX,TOPIX_INDEX_JPX,1375.61,1384.35,1371.96,1379.95,1379.95,,2016-03-14
2016-03-15,TOPIX,TOPIX_INDEX_JPX,1377.54,1383.43,1365.87,1372.08,1372.08,,2016-03-15
2016-03-16,TOPIX,TOPIX_INDEX_JPX,1361.83,1373.31,1360.05,1360.5,1360.5,,2016-03-16
2016-03-17,TOPIX,TOPIX_INDEX_JPX,1369.38,1380.98,1348.6,1358.97,1358.97,,2016-03-17
2016-03-18,TOPIX,TOPIX_INDEX_JPX,1354.55,1359.83,1335.34,1345.05,1345.05,,2016-03-18
2016-03-22,TOPIX,TOPIX_INDEX_JPX,1359.99,1374.97,1354.57,1369.93,1369.93,,2016-03-22
2016-03-23,TOPIX,TOPIX_INDEX_JPX,1371.29,1378.25,1361.86,1364.2,1364.2,,2016-03-23
2016-03-24,TOPIX,TOPIX_INDEX_JPX,1360.07,1365.04,1348.88,1354.61,1354.61,,2016-03-24
2016-03-25,TOPIX,TOPIX_INDEX_JPX,1357.37,1368.22,1352.78,1366.05,1366.05,,2016-03-25
2016-03-28,TOPIX,TOPIX_INDEX_JPX,1375.16,1381.85,1364.8,1381.85,1381.85,,2016-03-28
2016-03-29,TOPIX,TOPIX_INDEX_JPX,1367.86,1380.41,1367.86,1377.6,1377.6,,2016-03-29
2016-03-30,TOPIX,TOPIX_INDEX_JPX,1373.18,1374.84,1356.09,1356.29,1356.29,,2016-03-30
2016-03-31,TOPIX,TOPIX_INDEX_JPX,1363.12,1367.88,1346.83,1347.2,1347.2,,2016-03-31
2016-04-01,TOPIX,TOPIX_INDEX_JPX,1343.24,1343.24,1298.48,1301.4,1301.4,,2016-04-01
2016-04-04,TOPIX,TOPIX_INDEX_JPX,1296.78,1313.96,1292.59,1302.71,1302.71,,2016-04-04
2016-04-05,TOPIX,TOPIX_INDEX_JPX,1295.21,1298.04,1266.77,1268.37,1268.37,,2016-04-05
2016-04-06,TOPIX,TOPIX_INDEX_JPX,1266.19,1274.56,1256.31,1267.75,1267.75,,2016-04-06
2016-04-07,TOPIX,TOPIX_INDEX_JPX,1267.33,1281.37,1261.36,1272.64,1272.64,,2016-04-07
2016-04-08,TOPIX,TOPIX_INDEX_JPX,1255.07,1303.13,1250.77,1287.69,1287.69,,2016-04-08
