date,symbol,dividend
2000-03-28,1332.T,4.0
2000-09-26,1332.T,2.0
2001-03-27,1332.T,3.0
2001-09-25,1332.T,2.5
2002-03-26,1332.T,2.5
2002-09-25,1332.T,2.5
2003-03-26,1332.T,2.5
2003-09-25,1332.T,2.5
2004-03-26,1332.T,2.5
2004-09-27,1332.T,2.5
2005-03-28,1332.T,3.5
2005-09-27,1332.T,3.5
2006-03-28,1332.T,3.5
2006-09-26,1332.T,4.0
2007-03-27,1332.T,5.0
2007-09-25,1332.T,5.0
2008-03-26,1332.T,5.0
2008-09-25,1332.T,5.0
2009-03-26,1332.T,5.0
2009-09-25,1332.T,5.0
2010-03-29,1332.T,5.0
2010-09-28,1332.T,5.0
2011-03-29,1332.T,5.0
2011-09-28,1332.T,5.0
2012-03-28,1332.T,5.0
2015-03-27,1332.T,3.0
2015-09-28,1332.T,2.0
2016-03-29,1332.T,3.0
2016-09-28,1332.T,2.5
2017-03-29,1332.T,3.5
2017-09-27,1332.T,4.0
2018-03-28,1332.T,4.0
2018-09-26,1332.T,4.0
2019-03-27,1332.T,4.0
2019-09-27,1332.T,4.0
2020-03-30,1332.T,4.5
2020-09-29,1332.T,4.0
2021-03-30,1332.T,4.5
2021-09-29,1332.T,6.0
2022-03-30,1332.T,8.0
2022-09-29,1332.T,8.0
2023-03-30,1332.T,10.0
2023-09-28,1332.T,10.0
2024-03-28,1332.T,14.0
2024-09-27,1332.T,12.0
2025-03-28,1332.T,16.0
2025-09-29,1332.T,14.0
2007-03-27,1605.T,17.5
2007-09-25,1605.T,8.75
2008-03-26,1605.T,10.0
2008-09-25,1605.T,10.0
2009-03-26,1605.T,10.0
2009-09-25,1605.T,6.25
2010-03-29,1605.T,7.5
2010-09-28,1605.T,7.5
2011-03-29,1605.T,7.5
2011-09-28,1605.T,7.5
2012-03-28,1605.T,10.0
2012-09-26,1605.T,8.75
2013-03-27,1605.T,8.75
2013-09-26,1605.T,9.0
2014-03-27,1605.T,9.0
2014-09-26,1605.T,9.0
2015-03-27,1605.T,9.0
2015-09-28,1605.T,9.0
2016-03-29,1605.T,9.0
2016-09-28,1605.T,9.0
2017-03-29,1605.T,9.0
2017-09-27,1605.T,9.0
2018-03-28,1605.T,9.0
2018-09-26,1605.T,9.0
2019-03-27,1605.T,15.0
2019-09-27,1605.T,12.0
2019-12-27,1605.T,18.0
2020-06-29,1605.T,12.0
2020-12-30,1605.T,12.0
2021-06-29,1605.T,20.0
2021-12-29,1605.T,28.0
2022-06-29,1605.T,30.0
2022-12-29,1605.T,32.0
2023-06-29,1605.T,37.0
2023-12-28,1605.T,37.0
2024-06-27,1605.T,43.0
2024-12-27,1605.T,43.0
2025-06-27,1605.T,50.0
2025-12-29,1605.T,50.0
2004-03-26,1721.T,7.0
2004-09-27,1721.T,5.0
2005-03-28,1721.T,3.0
2005-09-27,1721.T,7.0
2006-03-28,1721.T,8.0
2006-09-26,1721.T,7.0
2007-03-27,1721.T,10.0
2007-09-25,1721.T,7.0
2008-03-26,1721.T,10.0
2008-09-25,1721.T,10.0
2009-03-26,1721.T,10.0
2009-09-25,1721.T,10.0
2010-03-29,1721.T,10.0
2010-09-28,1721.T,10.0
2011-03-29,1721.T,10.0
2011-09-28,1721.T,10.0
2012-03-28,1721.T,10.0
2012-09-26,1721.T,10.0
2013-03-27,1721.T,10.0
2013-09-26,1721.T,10.0
2014-03-27,1721.T,15.0
2014-09-26,1721.T,15.0
2015-03-27,1721.T,15.0
2015-09-28,1721.T,15.0
2016-03-29,1721.T,20.0
2016-09-28,1721.T,20.0
2017-03-29,1721.T,20.0
2017-09-27,1721.T,25.0
2018-03-28,1721.T,25.0
2018-09-26,1721.T,30.0
2019-03-27,1721.T,30.0
2019-09-27,1721.T,35.0
2020-03-30,1721.T,40.0
2020-09-29,1721.T,40.0
2021-03-30,1721.T,45.0
2021-09-29,1721.T,45.0
2022-03-30,1721.T,50.0
2022-09-29,1721.T,50.0
2023-03-30,1721.T,50.0
2023-09-28,1721.T,50.0
2024-03-28,1721.T,55.0
2024-09-27,1721.T,55.0
2025-03-28,1721.T,60.0
2025-09-29,1721.T,60.0
2000-03-28,1801.T,12.5
2000-09-26,1801.T,12.5
2001-03-27,1801.T,12.5
2001-09-25,1801.T,12.5
2002-03-26,1801.T,12.5
2002-09-25,1801.T,12.5
2003-03-26,1801.T,12.5
2003-09-25,1801.T,12.5
2004-03-26,1801.T,12.5
2004-09-27,1801.T,12.5
