date,symbol,split_ratio
2006-04-03,1605.T,0.0014
2013-09-26,1605.T,400.0
2017-09-27,1801.T,0.2
2002-08-02,1808.T,0.2
2013-09-26,1808.T,0.2
2018-09-26,1812.T,0.5
2013-09-26,2002.T,1.1
2014-09-26,2002.T,1.1
2015-09-28,2269.T,2.0
2023-03-30,2269.T,2.0
2018-03-28,2282.T,0.5
2005-03-28,2413.T,3.0
2005-09-27,2413.T,2.0
2011-09-28,2413.T,2.0
2012-09-26,2413.T,3.0
2014-03-27,2413.T,200.0
2018-09-26,2413.T,2.0
2005-09-27,2432.T,3.0
2010-05-27,2432.T,300.0
2016-06-28,2501.T,0.2
2025-12-29,2501.T,5.0
2024-09-27,2502.T,3.0
2021-09-29,2768.T,0.2
2024-03-28,2801.T,5.0
2025-03-28,2802.T,2.0
2016-09-28,2871.T,0.5
2025-03-28,2871.T,2.0
2006-03-28,2914.T,5.0
2012-06-27,2914.T,200.0
2007-09-03,3086.T,1.4
2014-08-27,3086.T,0.5
2009-02-24,3092.T,3.0
2011-01-27,3092.T,300.0
2016-09-28,3092.T,3.0
2025-03-28,3092.T,3.0
2024-02-28,3382.T,3.0
2016-09-28,3401.T,0.2
2007-01-26,3436.T,2.0
2007-01-31,3436.T,2.0
2018-03-28,3659.T,2.0
2015-01-28,3697.T,5.0
2025-01-22,3697.T,15.0
2016-06-28,4004.T,0.1
2017-09-27,4042.T,0.5
2017-09-27,4043.T,0.2
2017-09-27,4061.T,0.2
2023-03-30,4063.T,5.0
2017-09-27,4183.T,0.2
2025-12-29,4183.T,2.0
2005-09-30,4188.T,0.5
2017-09-27,4208.T,0.1
2007-03-27,4307.T,5.0
2015-09-28,4307.T,1.1
2016-12-28,4307.T,1.1
2019-06-26,4307.T,3.0
2004-03-26,4324.T,2.0
2008-12-30,4324.T,100.0
2014-03-27,4503.T,5.0
2024-09-27,4507.T,3.0
2020-06-29,4519.T,3.0
2014-03-27,4543.T,2.0
2019-03-27,4543.T,2.0
2024-03-28,4543.T,2.0
2020-09-29,4568.T,3.0
2015-03-27,4661.T,4.0
2023-03-30,4661.T,5.0
2004-03-26,4689.T,2.0
2004-09-27,4689.T,2.0
2005-03-28,4689.T,2.0
2005-09-27,4689.T,2.0
2006-03-28,4689.T,2.0
2013-09-26,4689.T,100.0
2001-03-27,4704.T,2.0
2001-09-25,4751.T,2.0
2002-09-25,4751.T,2.0
2003-09-25,4751.T,2.0
2004-09-27,4751.T,2.0
2005-09-27,4751.T,2.0
2013-09-26,4751.T,100.0
2016-09-28,4751.T,2.0
2021-03-30,4751.T,4.0
2002-06-25,4755.T,10.0
2004-12-27,4755.T,10.0
2012-06-27,4755.T,100.0
2024-03-28,4901.T,3.0
2013-12-26,5019.T,4.0
2023-12-28,5019.T,5.0
2015-06-26,5101.T,0.5
2025-12-29,5108.T,2.0
2017-06-28,5201.T,0.2
2007-03-27,5214.T,1.5
2017-06-28,5214.T,0.2
2017-09-27,5233.T,0.1
2023-12-28,5233.T,2.0
2015-09-28,5332.T,0.5
2015-10-01,5401.T,0.1
2025-09-29,5401.T,5.0
2016-09-28,5406.T,0.1
2016-09-28,5631.T,0.2
2017-09-27,5706.T,0.1
2016-09-28,5711.T,0.1
2017-09-27,5713.T,0.5
2017-09-27,5714.T,0.2
2016-09-28,5801.T,0.1
2017-06-28,6098.T,3.0
2017-09-27,6103.T,0.2
2024-09-27,6103.T,2.0
2023-03-30,6146.T,3.0
2017-09-27,6302.T,0.2
2016-09-28,6361.T,0.2
2024-06-27,6361.T,5.0
2018-09-26,6501.T,0.2
2024-06-27,6501.T,5.0
2018-09-26,6504.T,0.2
2023-12-28,6526.T,5.0
2022-10-28,6532.T,10.0
2005-09-27,6594.T,2.0
2014-03-27,6594.T,2.0
2020-03-30,6594.T,2.0
2020-04-01,6594.T,2.0
2024-09-27,6594.T,2.0
2018-09-26,6674.T,0.2
2017-09-27,6701.T,0.1
