code,symbol,name_ja,company_ja,sector_sub,asof_date
4151,4151.T,協和キリン,協和キリン（株）,医薬品,2025-10-10
4502,4502.T,武田,武田薬品工業（株）,医薬品,2025-10-10
4503,4503.T,アステラス,アステラス製薬（株）,医薬品,2025-10-10
4506,4506.T,住友ファーマ,住友ファーマ（株）,医薬品,2025-10-10
4507,4507.T,塩野義,塩野義製薬（株）,医薬品,2025-10-10
4519,4519.T,中外薬,中外製薬（株）,医薬品,2025-10-10
4523,4523.T,エーザイ,エーザイ（株）,医薬品,2025-10-10
4568,4568.T,第一三共,第一三共（株）,医薬品,2025-10-10
4578,4578.T,大塚ＨＤ,大塚ホールディングス（株）,医薬品,2025-10-10
6479,6479.T,ミネベア,ミネベアミツミ（株）,電気機器,2025-10-10
6501,6501.T,日立,（株）日立製作所,電気機器,2025-10-10
6503,6503.T,三菱電,三菱電機（株）,電気機器,2025-10-10
6504,6504.T,富士電機,富士電機（株）,電気機器,2025-10-10
6506,6506.T,安川電,（株）安川電機,電気機器,2025-10-10
6526,6526.T,ソシオネクス,（株）ソシオネクスト,電気機器,2025-10-10
6594,6594.T,ニデック,ニデック（株）,電気機器,2025-10-10
6645,6645.T,オムロン,オムロン（株）,電気機器,2025-10-10
6674,6674.T,ＧＳユアサ,（株）ジーエス・ユアサ　コーポレーション,電気機器,2025-10-10
6701,6701.T,ＮＥＣ,日本電気（株）,電気機器,2025-10-10
6702,6702.T,富士通,富士通（株）,電気機器,2025-10-10
6723,6723.T,ルネサス,ルネサスエレクトロニクス（株）,電気機器,2025-10-10
6724,6724.T,エプソン,セイコーエプソン（株）,電気機器,2025-10-10
6752,6752.T,パナＨＤ,パナソニック　ホールディングス（株）,電気機器,2025-10-10
6753,6753.T,シャープ,シャープ（株）,電気機器,2025-10-10
6758,6758.T,ソニーＧ,ソニーグループ（株）,電気機器,2025-10-10
6762,6762.T,ＴＤＫ,ＴＤＫ（株）,電気機器,2025-10-10
6770,6770.T,アルプスアル,アルプスアルパイン（株）,電気機器,2025-10-10
6841,6841.T,横河電,横河電機（株）,電気機器,2025-10-10
6857,6857.T,アドテスト,（株）アドバンテスト,電気機器,2025-10-10
6861,6861.T,キーエンス,（株）キーエンス,電気機器,2025-10-10
6902,6902.T,デンソー,（株）デンソー,電気機器,2025-10-10
6920,6920.T,レーザーテク,レーザーテック（株）,電気機器,2025-10-10
6952,6952.T,カシオ,カシオ計算機（株）,電気機器,2025-10-10
6954,6954.T,ファナック,ファナック（株）,電気機器,2025-10-10
6963,6963.T,ローム,ローム（株）,電気機器,2025-10-10
6971,6971.T,京セラ,京セラ（株）,電気機器,2025-10-10
6976,6976.T,太陽誘電,太陽誘電（株）,電気機器,2025-10-10
6981,6981.T,村田製,（株）村田製作所,電気機器,2025-10-10
7735,7735.T,スクリン,（株）ＳＣＲＥＥＮホールディングス,電気機器,2025-10-10
7751,7751.T,キヤノン,キヤノン（株）,電気機器,2025-10-10
