,Full sample,GPT-valid sample
N,1087.0,1049.0
Mean abs. disagreement (raw),0.3299327209307189,0.3416746132152082
Median abs. disagreement (raw),0.25,0.2935500515995873
P75 abs. disagreement (raw),0.4969182393456964,0.4972809035766577
P90 abs. disagreement (raw),0.595646011952296,0.5982745706839229
Mean abs. disagreement (z),0.8493864097178006,0.840573465915615
Median abs. disagreement (z),0.7274398215426247,0.7114797504608509
P75 abs. disagreement (z),1.2386656355798042,1.2367444255659776
P90 abs. disagreement (z),1.7094420672235169,1.7015538694794696
Polarity conflict rate,0.26034958601655933,0.2697807435653003
Thresholded polarity conflict rate,0.06623735050597976,0.06863679694947569
Same-sign nonzero rate,0.640294388224471,0.663489037178265
Either-neutral threshold rate,0.6126954921803128,0.5986653956148713
