industry,n_obs,n_firms,mean_abs_disagreement_z
Rubber Products,10,2,1.4468927344167504
Wholesale Trade,34,7,1.215288823323275
Mining,6,1,1.1878237346053917
Iron & Steel,15,3,1.0159346209565747
Information & Communication,54,12,0.9407019139053849
Foods,48,10,0.9272812855694356
Precision Instruments,19,4,0.9209606877372114
Land Transportation,44,9,0.9146700771307714
Pharmaceutical,44,9,0.9036058789949812
Retail Trade,44,10,0.902279332560876
Insurance,20,4,0.9008581373996305
Machinery,85,17,0.8938371732227214
Real Estate,25,5,0.8882275794059106
Nonferrous Metals,35,7,0.8878142946312151
Marine Transportation,14,3,0.8269560513741387
Transportation Equipments,60,12,0.8102931771324938
Other Financing Business,10,2,0.8096072710692173
Services,44,10,0.793512750825836
Electric Appliances,153,32,0.7918560942107983
Chemicals,80,16,0.7878001500825906
Textiles & Apparels,10,2,0.7859320231674306
Other Products,25,5,0.7541235769113039
Glass & Ceramics Products,28,6,0.7441325397071488
Electric Power & Gas,25,5,0.7402352386116493
Air Transportation,8,2,0.7383961633207949
Securities & Commodity Futures,5,1,0.7187275145721699
Metal Products,5,1,0.6953570399176799
Banks,37,9,0.686519840428799
Construction,43,9,0.5638967431381304
Oil & Coal Products,9,2,0.5259760189746856
Pulp & Paper,5,1,0.4483098389509694
"Fishery, Agriculture & Forestry",5,1,0.15698576955233448
